Participant,Practice,Block,Trial,Time
Participant,Practice,Block,Trial,Time
0,true,0,0,0.000
0,true,0,0,1.011
0,true,0,0,2.005
0,true,0,0,3.007
0,true,0,0,4.006
0,true,0,0,5.011
0,true,0,0,6.002
0,true,0,0,7.010
0,true,0,0,8.011
0,true,0,0,9.015
0,true,0,0,10.005
0,true,0,0,11.009
0,true,0,0,12.004
0,true,0,0,13.009
0,true,0,0,14.002
0,true,0,0,15.008
0,true,0,0,16.002
0,true,0,0,17.006
0,true,0,0,18.001
0,true,0,0,19.008
0,true,0,0,20.000
0,true,0,0,21.001
0,true,0,0,22.009
0,true,0,0,23.008
0,true,0,0,24.007
0,true,0,0,25.011
0,true,0,0,26.007
Participant,Practice,Block,Trial,Time
0,true,0,0,0.000
0,true,0,0,1.000
0,true,0,0,2.000
0,true,0,0,3.000
0,true,0,0,4.000
0,true,0,0,5.000
0,true,0,0,6.000
0,true,0,0,7.000
0,true,0,0,8.000
0,true,0,0,9.000
0,true,0,0,10.000
0,true,0,0,11.000
0,true,0,0,12.000
0,true,0,0,13.000
0,true,0,0,14.000
0,true,0,0,15.000
0,true,0,0,16.000
0,true,0,0,17.000
0,true,0,0,18.000
0,true,0,0,19.000
0,true,0,0,20.000
0,true,0,0,21.000
0,true,0,0,22.000
0,true,0,0,23.000
0,true,0,0,24.000
0,true,0,0,25.000
0,true,0,0,26.000
Participant,Practice,Block,Trial,Time
0,true,0,0,0.000
0,true,0,0,1.000
0,true,0,0,2.000
0,true,0,0,3.000
0,true,0,0,4.000
0,true,0,0,5.000
0,true,0,0,6.000
0,true,0,0,7.000
0,true,0,0,8.000
0,true,0,0,9.000
0,true,0,0,10.000
0,true,0,0,11.000
0,true,0,0,12.000
0,true,0,0,13.000
0,true,0,0,14.000
0,true,0,0,15.000
0,true,0,0,16.000
0,true,0,0,17.000
0,true,0,0,18.000
Participant,Practice,Block,Trial,Time
0,true,0,0,0.000
0,true,0,0,1.000
0,true,0,0,2.000
0,true,0,0,3.000
0,true,0,0,4.000
0,true,0,0,5.000
0,true,0,0,6.000
0,true,0,0,7.000
0,true,0,0,8.000
0,true,0,0,9.000
0,true,0,0,10.000
0,true,0,0,11.000
0,true,0,0,12.000
0,true,0,0,13.000
0,true,0,0,14.000
0,true,0,0,15.000
0,true,0,0,16.000
0,true,0,0,17.000
0,true,0,0,18.000
0,true,0,0,19.000
0,true,0,0,20.000
0,true,0,0,21.000
0,true,0,0,22.000
0,true,0,0,23.000
0,true,0,0,24.000
0,true,0,0,25.000
0,true,0,0,26.000
0,true,0,0,27.000
0,true,0,0,28.000
0,true,0,0,29.000
0,true,0,0,30.000
0,true,0,0,31.000
0,true,0,0,32.000
0,true,0,0,33.000
0,true,0,0,34.000
0,true,0,0,35.000
0,true,0,0,36.000
0,true,0,0,37.000
0,true,0,0,38.000
0,true,0,0,39.000
0,true,0,0,40.000
0,true,0,0,41.000
0,true,0,0,42.000
Participant,Practice,Block,Trial,Time
0,true,0,0,0.000
0,true,0,0,1.000
0,true,0,0,2.000
0,true,0,0,3.000
0,true,0,0,4.000
0,true,0,0,5.000
0,true,0,0,6.000
0,true,0,0,7.000
0,true,0,0,8.000
0,true,0,0,9.000
0,true,0,0,10.000
0,true,0,0,11.000
0,true,0,0,12.000
0,true,0,0,13.000
0,true,0,0,14.000
0,true,0,0,15.000
0,true,0,0,16.000
0,true,0,0,17.000
0,true,0,0,18.000
0,true,0,0,19.000
0,true,0,0,20.000
0,true,0,0,21.000
0,true,0,0,22.000
0,true,0,0,23.000
0,true,0,0,24.000
0,true,0,0,25.000
0,true,0,0,26.000
0,true,0,0,27.000
0,true,0,0,28.000
0,true,0,0,29.000
0,true,0,0,30.000
0,true,0,0,31.000
0,true,0,0,32.000
0,true,0,0,33.000
0,true,0,0,34.000
0,true,0,0,35.000
0,true,0,0,36.000
0,true,0,0,37.000
0,true,0,0,38.000
0,true,0,0,39.000
0,true,0,0,40.000
0,true,0,0,41.000
0,true,0,0,42.000
0,true,0,0,43.000
0,true,0,0,44.000
0,true,0,0,45.000
0,true,0,0,46.000
0,true,0,0,47.000
0,true,0,0,48.000
0,true,0,0,49.000
0,true,0,0,50.000
0,true,0,0,51.000
0,true,0,0,52.000
0,true,0,0,53.000
0,true,0,0,54.000
0,true,0,0,55.000
0,true,0,0,56.000
0,true,0,0,57.000
0,true,0,0,58.000
0,true,0,0,59.000
0,true,0,0,60.000
0,true,0,0,61.000
0,true,0,0,62.000
0,true,0,0,63.000
0,true,0,0,64.000
0,true,0,0,65.000
0,true,0,0,66.000
0,true,0,0,67.000
0,true,0,0,68.000
0,true,0,0,69.000
0,true,0,0,70.000
0,true,0,0,71.000
0,true,0,0,72.000
0,true,0,0,73.000
0,true,0,0,74.000
0,true,0,0,75.000
0,true,0,0,76.000
0,true,0,0,77.000
0,true,0,0,78.000
0,true,0,0,79.000
0,true,0,0,80.000
0,true,0,0,81.000
0,true,0,0,82.000
0,true,0,0,83.000
0,true,0,0,84.000
0,true,0,0,85.000
0,true,0,0,86.000
0,true,0,0,87.000
0,true,0,0,88.000
0,true,0,0,89.000
0,true,0,0,90.000
0,true,0,0,91.000
0,true,0,0,92.000
0,true,0,0,93.000
0,true,0,0,94.000
0,true,0,0,95.000
0,true,0,0,96.000
0,true,0,0,97.000
0,true,0,0,98.000
0,true,0,0,99.000
0,true,0,0,100.000
0,true,0,0,101.000
0,true,0,0,102.000
0,true,0,0,103.000
0,true,0,0,104.000
0,true,0,0,105.000
0,true,0,0,106.000
0,true,0,0,107.000
0,true,0,0,108.000
0,true,0,0,109.000
0,true,0,0,110.000
0,true,0,0,111.000
0,true,0,0,112.000
0,true,0,0,113.000
0,true,0,0,114.000
0,true,0,0,115.000
0,true,0,0,116.000
0,true,0,0,117.000
0,true,0,0,118.000
0,true,0,0,119.000
0,true,0,0,120.000
0,true,0,0,121.000
0,true,0,0,122.000
0,true,0,0,123.000
0,true,0,0,124.000
0,true,0,0,125.000
0,true,0,0,126.000
0,true,0,0,127.000
0,true,0,0,128.000
0,true,0,0,129.000
0,true,0,0,130.000
0,true,0,0,131.000
0,true,0,0,132.000
0,true,0,0,133.000
0,true,0,0,134.000
0,true,0,0,135.000
0,true,0,0,136.000
0,true,0,0,137.000
0,true,0,0,138.000
0,true,0,0,139.000
Participant,Practice,Block,Trial,Time
0,true,0,0,0.000
0,true,0,0,1.000
0,true,0,0,2.000
0,true,0,0,3.000
0,true,0,0,4.000
0,true,0,0,5.000
0,true,0,0,6.000
0,true,0,0,7.000
0,true,0,0,8.000
0,true,0,0,9.000
0,true,0,0,10.000
Participant,Practice,Block,Trial,Time
0,true,0,0,0.000
0,true,0,0,1.000
0,true,0,0,2.000
0,true,0,0,3.000
0,true,0,0,4.000
0,true,0,0,5.000
0,true,0,0,6.000
0,true,0,0,7.000
0,true,0,0,8.000
Participant,Practice,Block,Trial,Time
0,true,0,0,0.000
0,true,0,0,1.000
0,true,0,0,2.000
0,true,0,0,3.000
0,true,0,0,4.000
0,true,0,0,5.000
0,true,0,0,6.000
Participant,Practice,Block,Trial,Time
0,true,0,0,0.000
0,true,0,0,1.000
0,true,0,0,2.000
0,true,0,0,3.000
0,true,0,0,4.000
0,true,0,0,5.000
0,true,0,0,6.000
Participant,Practice,Block,Trial,Time
0,true,0,0,0.000
0,true,0,0,1.000
0,true,0,0,2.000
0,true,0,0,3.000
0,true,0,0,4.000
0,true,0,0,5.000
0,true,0,0,6.000
0,true,0,0,7.000
0,true,0,0,8.000
0,true,0,0,9.000
0,true,0,0,10.000
0,true,0,0,11.000
0,true,0,0,12.000
0,true,0,0,13.000
0,true,0,0,14.000
0,true,0,0,15.000
0,true,0,0,16.000
0,true,0,0,17.000
0,true,0,0,18.000
0,true,0,0,19.000
0,true,0,0,20.000
0,true,0,0,21.000
0,true,0,0,22.000
0,true,0,0,23.000
0,true,0,0,24.000
0,true,0,0,25.000
0,true,0,0,26.000
0,true,0,0,27.000
0,true,0,0,28.000
0,true,0,0,29.000
0,true,0,0,30.000
0,true,0,0,31.000
0,true,0,0,32.000
0,true,0,0,33.000
0,true,0,0,34.000
Participant,Practice,Block,Trial,Time
0,true,0,0,0.000
0,true,0,0,1.000
0,true,0,0,2.000
